title,author,isbn,category,publisher,publishedYear,quantity,availableQuantity,language,description,coverImage
Programming Essentials Vol. 1,Author 1,9780000000001,Programming,TechPress,2000,3,3,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+1
AI & Machine Learning Essentials Vol. 2,Author 2,9780000000002,AI & Machine Learning,AI Publications,2001,4,4,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+2
Data Science Essentials Vol. 3,Author 3,9780000000003,Data Science,Data Insights,2002,5,5,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+3
Web Development Essentials Vol. 4,Author 4,9780000000004,Web Development,Web House,2003,6,6,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+4
Database Essentials Vol. 5,Author 5,9780000000005,Database,DB World,2004,7,7,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+5
Cyber Security Essentials Vol. 6,Author 6,9780000000006,Cyber Security,Secure Books,2005,8,8,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+6
Cloud Computing Essentials Vol. 7,Author 7,9780000000007,Cloud Computing,Cloud Press,2006,9,9,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+7
Fiction Essentials Vol. 8,Author 8,9780000000008,Fiction,Novel House,2007,10,10,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+8
History Essentials Vol. 9,Author 9,9780000000009,History,Heritage Press,2008,3,3,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+9
Business Essentials Vol. 10,Author 10,9780000000010,Business,Business Media,2009,4,4,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+10
Programming Essentials Vol. 11,Author 11,9780000000011,Programming,TechPress,2010,5,5,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+11
AI & Machine Learning Essentials Vol. 12,Author 12,9780000000012,AI & Machine Learning,AI Publications,2011,6,6,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+12
Data Science Essentials Vol. 13,Author 13,9780000000013,Data Science,Data Insights,2012,7,7,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+13
Web Development Essentials Vol. 14,Author 14,9780000000014,Web Development,Web House,2013,8,8,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+14
Database Essentials Vol. 15,Author 15,9780000000015,Database,DB World,2014,9,9,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+15
Cyber Security Essentials Vol. 16,Author 16,9780000000016,Cyber Security,Secure Books,2015,10,10,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+16
Cloud Computing Essentials Vol. 17,Author 17,9780000000017,Cloud Computing,Cloud Press,2016,3,3,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+17
Fiction Essentials Vol. 18,Author 18,9780000000018,Fiction,Novel House,2017,4,4,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+18
History Essentials Vol. 19,Author 19,9780000000019,History,Heritage Press,2018,5,5,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+19
Business Essentials Vol. 20,Author 20,9780000000020,Business,Business Media,2019,6,6,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+20
Programming Essentials Vol. 21,Author 21,9780000000021,Programming,TechPress,2020,7,7,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+21
AI & Machine Learning Essentials Vol. 22,Author 22,9780000000022,AI & Machine Learning,AI Publications,2021,8,8,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+22
Data Science Essentials Vol. 23,Author 23,9780000000023,Data Science,Data Insights,2022,9,9,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+23
Web Development Essentials Vol. 24,Author 24,9780000000024,Web Development,Web House,2023,10,10,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+24
Database Essentials Vol. 25,Author 25,9780000000025,Database,DB World,2024,3,3,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+25
Cyber Security Essentials Vol. 26,Author 26,9780000000026,Cyber Security,Secure Books,2000,4,4,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+26
Cloud Computing Essentials Vol. 27,Author 27,9780000000027,Cloud Computing,Cloud Press,2001,5,5,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+27
Fiction Essentials Vol. 28,Author 28,9780000000028,Fiction,Novel House,2002,6,6,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+28
History Essentials Vol. 29,Author 29,9780000000029,History,Heritage Press,2003,7,7,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+29
Business Essentials Vol. 30,Author 30,9780000000030,Business,Business Media,2004,8,8,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+30
Programming Essentials Vol. 31,Author 31,9780000000031,Programming,TechPress,2005,9,9,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+31
AI & Machine Learning Essentials Vol. 32,Author 32,9780000000032,AI & Machine Learning,AI Publications,2006,10,10,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+32
Data Science Essentials Vol. 33,Author 33,9780000000033,Data Science,Data Insights,2007,3,3,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+33
Web Development Essentials Vol. 34,Author 34,9780000000034,Web Development,Web House,2008,4,4,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+34
Database Essentials Vol. 35,Author 35,9780000000035,Database,DB World,2009,5,5,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+35
Cyber Security Essentials Vol. 36,Author 36,9780000000036,Cyber Security,Secure Books,2010,6,6,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+36
Cloud Computing Essentials Vol. 37,Author 37,9780000000037,Cloud Computing,Cloud Press,2011,7,7,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+37
Fiction Essentials Vol. 38,Author 38,9780000000038,Fiction,Novel House,2012,8,8,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+38
History Essentials Vol. 39,Author 39,9780000000039,History,Heritage Press,2013,9,9,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+39
Business Essentials Vol. 40,Author 40,9780000000040,Business,Business Media,2014,10,10,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+40
Programming Essentials Vol. 41,Author 41,9780000000041,Programming,TechPress,2015,3,3,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+41
AI & Machine Learning Essentials Vol. 42,Author 42,9780000000042,AI & Machine Learning,AI Publications,2016,4,4,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+42
Data Science Essentials Vol. 43,Author 43,9780000000043,Data Science,Data Insights,2017,5,5,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+43
Web Development Essentials Vol. 44,Author 44,9780000000044,Web Development,Web House,2018,6,6,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+44
Database Essentials Vol. 45,Author 45,9780000000045,Database,DB World,2019,7,7,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+45
Cyber Security Essentials Vol. 46,Author 46,9780000000046,Cyber Security,Secure Books,2020,8,8,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+46
Cloud Computing Essentials Vol. 47,Author 47,9780000000047,Cloud Computing,Cloud Press,2021,9,9,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+47
Fiction Essentials Vol. 48,Author 48,9780000000048,Fiction,Novel House,2022,10,10,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+48
History Essentials Vol. 49,Author 49,9780000000049,History,Heritage Press,2023,3,3,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+49
Business Essentials Vol. 50,Author 50,9780000000050,Business,Business Media,2024,4,4,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+50
Programming Essentials Vol. 51,Author 51,9780000000051,Programming,TechPress,2000,5,5,English,An introductory book on programming.,https://via.placeholder.com/150?text=Book+51
AI & Machine Learning Essentials Vol. 52,Author 52,9780000000052,AI & Machine Learning,AI Publications,2001,6,6,English,An introductory book on ai & machine learning.,https://via.placeholder.com/150?text=Book+52
Data Science Essentials Vol. 53,Author 53,9780000000053,Data Science,Data Insights,2002,7,7,English,An introductory book on data science.,https://via.placeholder.com/150?text=Book+53
Web Development Essentials Vol. 54,Author 54,9780000000054,Web Development,Web House,2003,8,8,English,An introductory book on web development.,https://via.placeholder.com/150?text=Book+54
Database Essentials Vol. 55,Author 55,9780000000055,Database,DB World,2004,9,9,English,An introductory book on database.,https://via.placeholder.com/150?text=Book+55
Cyber Security Essentials Vol. 56,Author 56,9780000000056,Cyber Security,Secure Books,2005,10,10,English,An introductory book on cyber security.,https://via.placeholder.com/150?text=Book+56
Cloud Computing Essentials Vol. 57,Author 57,9780000000057,Cloud Computing,Cloud Press,2006,3,3,English,An introductory book on cloud computing.,https://via.placeholder.com/150?text=Book+57
Fiction Essentials Vol. 58,Author 58,9780000000058,Fiction,Novel House,2007,4,4,English,An introductory book on fiction.,https://via.placeholder.com/150?text=Book+58
History Essentials Vol. 59,Author 59,9780000000059,History,Heritage Press,2008,5,5,English,An introductory book on history.,https://via.placeholder.com/150?text=Book+59
Business Essentials Vol. 60,Author 60,9780000000060,Business,Business Media,2009,6,6,English,An introductory book on business.,https://via.placeholder.com/150?text=Book+60
